"UMAP_1","UMAP_2","sample","major_cluster_label_trained_with_all","cluster_label_trained_with_all","subclass_bootstrapping_probability","subclass_name","Subclass"
-6.8903232230512,-2.83417854582923,"P5_new","Non-Martinotti","Non-Martinotti_5",0.9,"053 Sst Gaba","053 Sst Gaba"
-1.12778300183691,-4.27101121222633,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.95774036782659,2.49867500985009,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"050 Lamp5 Lhx6 Gaba","Other"
-0.277826966222891,-1.49161229407447,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
2.07252138716303,-3.44452271735328,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
0.153731583181253,0.950897833946767,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-2.41501981156744,2.95255341256005,"P5_new","Non-Martinotti","Non-Martinotti_1",0.98,"052 Pvalb Gaba","052 Pvalb Gaba"
-5.0152011527387,-2.31957111632484,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
2.90958422285639,-3.74677024161476,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-1.56586164372838,-6.40234504019874,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-3.51591140168584,-4.79092011725563,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.28418618577398,-2.93308148657936,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.97793299096502,-2.01399574553627,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.46650749581731,-1.77412197863716,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
9.7142795906695,0.755543849114003,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-4.51296812432683,3.83063354218346,"P5_new","Non-Martinotti","Non-Martinotti_3",1,"052 Pvalb Gaba","052 Pvalb Gaba"
0.360225065174928,1.72828628743035,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-6.31877666848577,1.1457216950689,"P5_new","Non-Martinotti","Non-Martinotti_4",0.99,"052 Pvalb Gaba","052 Pvalb Gaba"
-0.207643301662573,-0.171884277221141,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
9.3853639946612,0.847956797722401,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-6.76793581384099,1.22860445702416,"P5_new","Martinotti","Martinotti_1",0.96,"053 Sst Gaba","053 Sst Gaba"
4.18389743429743,-1.26065275942939,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
6.15831845861994,2.51716580117089,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
10.9349769936236,0.819361409786763,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
9.8584560738238,0.768889388683858,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-4.52297741311468,0.96551497900826,"P5_new","Non-Martinotti","Non-Martinotti_4",0.59,"053 Sst Gaba","053 Sst Gaba"
-1.51545053857244,1.40330900872094,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
7.50362199408137,1.46097697937829,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-2.02811700242437,-1.60922763621467,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.05493170159734,0.619481942299428,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-0.327904046949515,1.60150696957451,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-4.53075271981634,-2.318359949943,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
0.730332075181833,4.21666207039696,"P5_new","Non-Martinotti","Non-Martinotti_1",0.92,"053 Sst Gaba","053 Sst Gaba"
6.46450847250544,1.86433376992089,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
10.201875148836,-0.958332875129161,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
0.451968117180696,-0.607815900203166,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
6.15892642599665,1.46090855324608,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.25574987989985,-2.58168015753883,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.88346868890203,-2.45825228964942,"P5_new","Non-Martinotti","Non-Martinotti_5",0.91,"052 Pvalb Gaba","052 Pvalb Gaba"
9.17382472616755,0.318647703770222,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-4.42827898400701,-4.18569741522926,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.49209052461065,1.28414954865319,"P5_new","Non-Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.78409248727239,5.99303879464013,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.8693967475263,-1.64179096495765,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
4.08735412222468,-2.88584051406044,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-3.55004269021429,2.36884488785607,"P5_new","Non-Martinotti","Non-Martinotti_3",1,"052 Pvalb Gaba","052 Pvalb Gaba"
1.45979302984797,-1.79504618918556,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
10.2692570076617,-1.45966921126503,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
1.55295020205103,0.0375901075635574,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
2.30666798216425,0.024212195221009,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
0.164938962581983,0.509411087873997,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
