"UMAP_1","UMAP_2","metadata"
-5.68024563400808,1.91834525114193,"non-Martinotti"
0.0654738137238942,2.35664443021908,"Martinotti_Other"
1.29819643886027,-3.17263480180607,"non-Martinotti"
2.02987242133555,-2.55867668146,"non-Martinotti"
-4.27206205933156,4.20295123106136,"Martinotti_0215 Sst Gaba_2"
2.1217417755836,-4.2937304591547,"non-Martinotti"
0.302844617676111,-5.32808276170597,"non-Martinotti"
-6.4095733126885,1.76863221174373,"Martinotti_Other"
6.49775147826609,-4.59245701784001,"non-Martinotti"
1.62187743575511,-4.00834103578434,"non-Martinotti"
-1.57902192680898,-3.97427435869084,"non-Martinotti"
-5.8246386012322,0.41602171307697,"Martinotti_0215 Sst Gaba_2"
5.72730422408518,-5.17508908265934,"non-Martinotti"
