"UMAP_1","UMAP_2","Sample_Group","Major","Minor"
6.6008985081428,-3.3368544196497,"Base Atlas","Non-Martinotti","nMC4"
7.55428624541697,2.56588939672603,"Base Atlas","Non-Martinotti","nMC5"
0.112080175589892,5.21659926420345,"Base Atlas","Martinotti","MC2"
2.11206341178355,-3.02287479394779,"Base Atlas","Non-Martinotti","nMC2"
7.21183085830149,-2.89023514741764,"Base Atlas","Non-Martinotti","nMC4"
2.91686749846873,4.16043023115291,"Base Atlas","Martinotti","MC2"
-10.507481332708,1.87945524698391,"Base Atlas","LRP","LRP2"
-9.3338725528008,-0.226712546290019,"Base Atlas","LRP","HIn2"
0.353255931448313,-2.61157961839543,"Base Atlas","Non-Martinotti","nMC1"
-0.843566711831716,-2.78695031160221,"Base Atlas","Non-Martinotti","nMC1"
4.71116710097727,3.73405055051937,"Base Atlas","Non-Martinotti","nMC5"
3.69669914634165,-1.59741934293614,"Base Atlas","Non-Martinotti","nMC3"
2.73953462035594,-2.56876369470463,"Base Atlas","Non-Martinotti","nMC3"
-0.863849814820913,-3.91231366151676,"Base Atlas","Non-Martinotti","nMC1"
-5.56555151550832,0.670637586175344,"Base Atlas","Martinotti","MC3"
-11.1350829562432,1.6629710579504,"Base Atlas","LRP","LRP2"
3.67275166900096,-1.83765836709843,"Base Atlas","Non-Martinotti","nMC3"
-3.62090277283254,4.56292084699764,"Base Atlas","Martinotti","MC3"
1.42743373305735,-2.32576008790837,"Base Atlas","Non-Martinotti","nMC2"
-3.62442302315297,1.62089292055263,"Base Atlas","Martinotti","MC2"
0.12900998086867,-4.65671845430241,"Base Atlas","Non-Martinotti","nMC1"
1.97714853675303,-5.84520359987126,"Base Atlas","Non-Martinotti","nMC2"
-0.233998250055937,-2.135904989184,"Base Atlas","Non-Martinotti","nMC1"
1.86331034095225,5.59901551252498,"Base Atlas","Martinotti","MC1"
7.09713006408152,3.48331622129574,"Base Atlas","Non-Martinotti","nMC5"
1.30712747962412,-4.78979512208805,"Base Atlas","Non-Martinotti","nMC1"
6.50648665816722,2.81332139021053,"Base Atlas","Non-Martinotti","nMC5"
1.74186969191966,6.770016470014,"Base Atlas","Martinotti","MC1"
5.62514996917185,-5.89871331209049,"Base Atlas","Non-Martinotti","nMC1"
6.70304942519602,-3.58250256532536,"Base Atlas","Non-Martinotti","nMC3"
-2.52470755188527,0.90749339109554,"Base Atlas","LRP","HIn2"
-5.8976776561028,-1.69127889627323,"Base Atlas","LRP","HIn2"
-3.58769607155385,1.96482197290554,"Base Atlas","Martinotti","MC2"
-5.62716841309133,2.45494679456844,"Base Atlas","Martinotti","MC3"
-4.57993483154836,3.85241178518429,"Base Atlas","Martinotti","MC3"
1.64585817248759,-3.91819473260746,"Base Atlas","Non-Martinotti","nMC2"
-6.41577839462819,1.61186627393856,"Base Atlas","Martinotti","MC3"
3.35157871634898,-2.71452637666569,"Base Atlas","Non-Martinotti","nMC2"
5.49407077224192,-3.24488135331974,"Base Atlas","Non-Martinotti","nMC4"
0.23257565886912,0.635418810902974,"Base Atlas","Martinotti","MC2"
2.5993070641273,-5.64931889528141,"Base Atlas","Non-Martinotti","nMC2"
-1.23380958645406,-1.21438332551823,"Base Atlas","LRP","HIn2"
-0.726981576371817,-1.6836641644846,"Base Atlas","Martinotti","MC2"
-3.29017376511159,2.55740741735592,"Base Atlas","Martinotti","MC3"
0.397205744098993,-2.26339789384709,"Base Atlas","Non-Martinotti","nMC1"
2.4312949219459,5.56242636686458,"Base Atlas","Non-Martinotti","nMC5"
-3.34736036865774,0.0307650873650524,"Base Atlas","Martinotti","MC2"
3.42153478057322,-2.09144278520451,"Base Atlas","Non-Martinotti","nMC4"
